REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Southern,33,Kandahar,3303,Zheray,02-01-22,Flood / flash flood,0,0,3,30,3,0
Southern,33,Kandahar,3305,Daman,02-01-22,Flood / flash flood,0,0,3,25,3,0
Southern,33,Kandahar,3302,Arghandab,02-01-22,Flood / flash flood,0,0,4,40,4,0
Southern,33,Kandahar,3301,Kandahar,03-01-22,Flood / flash flood,0,0,29,232,29,0
Southern,32,Hilmand,3203,Nad-e-Ali,04-01-22,Flood / flash flood,2,2,171,1360,129,42
Southern,32,Hilmand,3201,Lashkargah,04-01-22,Flood / flash flood,0,0,38,304,50,0
Southern,32,Hilmand,3202,Nahr-e-Saraj,04-01-22,Flood / flash flood,0,0,24,192,12,12
Eastern,13,Kunar,1306,Shigal Wa Sheltan,05-01-22,Flood / flash flood,0,0,17,121,17,0
Eastern,13,Kunar,1311,Barkunar,05-01-22,Flood / flash flood,0,0,6,37,6,0
Southern,34,Nimroz,3403,Charburjak,05-01-22,Flood / flash flood,0,0,38,215,13,25
Eastern,13,Kunar,1309,Khaskunar,05-01-22,Flood / flash flood,0,0,6,38,6,0
Eastern,13,Kunar,1307,Dara-e-Pech,05-01-22,Flood / flash flood,0,0,6,42,6,0
Eastern,13,Kunar,1310,Dangam,05-01-22,Flood / flash flood,0,0,2,14,0,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,05-01-22,Flood / flash flood,0,0,29,203,29,0
Eastern,13,Kunar,1314,Nurgal,05-01-22,Flood / flash flood,0,0,18,118,15,3
Eastern,13,Kunar,1304,Sarkani,05-01-22,Flood / flash flood,1,0,5,35,5,0
Eastern,13,Kunar,1305,Marawara,05-01-22,Flood / flash flood,0,0,68,476,64,4
Eastern,13,Kunar,1301,Asadabad,05-01-22,Heavy snowfall,0,0,16,112,16,0
Eastern,13,Kunar,1314,Nurgal,05-01-22,Flood / flash flood,0,0,9,64,9,0
Eastern,13,Kunar,1301,Asadabad,05-01-22,Flood / flash flood,0,0,18,126,18,0
Eastern,13,Kunar,1312,Ghaziabad,05-01-22,Flood / flash flood,0,0,6,42,4,2
Eastern,13,Kunar,1312,Ghaziabad,05-01-22,Flood / flash flood,0,0,6,42,4,2
Eastern,13,Kunar,1307,Dara-e-Pech,05-01-22,Flood / flash flood,0,0,6,42,6,0
Eastern,13,Kunar,1302,Watapur,05-01-22,Flood / flash flood,1,4,3,21,3,0
Eastern,13,Kunar,1308,Chawkay,05-01-22,Flood / flash flood,0,0,6,37,5,1
Eastern,13,Kunar,1315,Nari,05-01-22,Flood / flash flood,0,0,3,21,3,0
Eastern,13,Kunar,1303,Narang,05-01-22,Flood / flash flood,0,0,10,70,10,0
Southern,33,Kandahar,3308,Maywand,06-01-22,Flood / flash flood,0,0,28,224,24,4
South Eastern,26,Khost,2601,Khost (Matun),06-01-22,Heavy snowfall,0,0,4,36,4,0
South Eastern,26,Khost,2602,Sabari,06-01-22,Flood / flash flood,2,2,1,5,1,0
South Eastern,26,Khost,2604,Nadirshahkot,06-01-22,Flood / flash flood,0,0,1,20,0,1
South Eastern,26,Khost,2612,Bak,06-01-22,Flood / flash flood,0,0,5,49,4,1
Southern,33,Kandahar,3304,Panjwayi,06-01-22,Flood / flash flood,1,1,12,96,12,0
South Eastern,26,Khost,2605,Mandozayi,06-01-22,Flood / flash flood,0,0,1,8,1,0
Southern,33,Kandahar,3301,Kandahar,06-01-22,Flood / flash flood,0,0,38,324,38,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,3,16,3,0
Eastern,6,Nangarhar,610,Hesarak,07-01-22,Flood / flash flood,0,2,1,3,1,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,5,28,5,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,2,8,2,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,3,20,3,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,1,0,2,13,0,2
Eastern,6,Nangarhar,606,Rodat,07-01-22,Flood / flash flood,0,0,1,6,0,1
Eastern,6,Nangarhar,617,Achin,07-01-22,Flood / flash flood,0,0,4,38,4,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,5,37,5,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,17,148,17,0
Eastern,6,Nangarhar,611,Sherzad,07-01-22,Flood / flash flood,1,6,1,4,1,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,9,76,8,1
Eastern,6,Nangarhar,607,Kama,07-01-22,Flood / flash flood,0,0,1,9,1,0
Eastern,6,Nangarhar,609,Dara-e-Nur,07-01-22,Flood / flash flood,0,0,1,18,1,0
Eastern,6,Nangarhar,614,Kot,07-01-22,Flood / flash flood,0,0,1,8,1,0
Eastern,6,Nangarhar,605,Chaparhar,07-01-22,Flood / flash flood,0,0,1,10,1,0
Eastern,6,Nangarhar,614,Kot,07-01-22,Flood / flash flood,0,0,1,6,1,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,3,29,3,0
Eastern,6,Nangarhar,604,Khogyani,07-01-22,Flood / flash flood,0,0,4,21,4,0
Eastern,6,Nangarhar,617,Achin,07-01-22,Flood / flash flood,0,0,4,37,4,0
Eastern,6,Nangarhar,617,Achin,07-01-22,Flood / flash flood,0,0,2,19,2,0
Eastern,6,Nangarhar,604,Khogyani,07-01-22,Flood / flash flood,0,0,1,3,1,0
Eastern,6,Nangarhar,606,Rodat,07-01-22,Flood / flash flood,0,0,1,5,1,0
Eastern,6,Nangarhar,611,Sherzad,07-01-22,Flood / flash flood,0,0,2,14,2,0
Eastern,6,Nangarhar,612,Pachieragam,07-01-22,Flood / flash flood,0,0,1,10,1,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,4,31,2,2
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,13,102,6,7
Eastern,6,Nangarhar,612,Pachieragam,07-01-22,Flood / flash flood,0,0,2,17,2,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,9,53,9,0
Eastern,6,Nangarhar,614,Kot,07-01-22,Flood / flash flood,0,0,1,8,1,0
Eastern,6,Nangarhar,612,Pachieragam,07-01-22,Flood / flash flood,0,0,1,10,1,0
Eastern,6,Nangarhar,619,Muhmand Dara,07-01-22,Flood / flash flood,0,1,3,29,3,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,1,8,1,0
Eastern,6,Nangarhar,601,Jalalabad,07-01-22,Flood / flash flood,0,0,7,46,7,0
Eastern,6,Nangarhar,601,Jalalabad,07-01-22,Flood / flash flood,0,0,6,37,5,1
Eastern,6,Nangarhar,601,Jalalabad,07-01-22,Flood / flash flood,0,0,6,29,5,1
Eastern,6,Nangarhar,601,Jalalabad,07-01-22,Flood / flash flood,0,0,6,36,6,0
Eastern,6,Nangarhar,616,Goshta,07-01-22,Flood / flash flood,0,0,1,5,1,0
Eastern,6,Nangarhar,601,Jalalabad,07-01-22,Flood / flash flood,0,0,2,10,2,0
Eastern,6,Nangarhar,615,Batikot,07-01-22,Flood / flash flood,0,0,1,10,1,0
Eastern,6,Nangarhar,615,Batikot,07-01-22,Flood / flash flood,0,0,1,9,0,1
Eastern,6,Nangarhar,622,Durbaba,07-01-22,Flood / flash flood,0,0,4,37,4,0
Eastern,6,Nangarhar,603,Surkhrod,07-01-22,Flood / flash flood,0,0,8,47,7,1
Eastern,6,Nangarhar,603,Surkhrod,07-01-22,Flood / flash flood,0,0,5,32,4,1
Eastern,6,Nangarhar,621,Nazyan,07-01-22,Flood / flash flood,0,0,1,10,1,0
Eastern,6,Nangarhar,622,Durbaba,07-01-22,Flood / flash flood,0,0,3,27,3,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,4,28,4,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,1,4,1,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,2,10,2,0
Eastern,6,Nangarhar,618,Shinwar,07-01-22,Flood / flash flood,0,0,2,22,2,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,4,18,4,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,6,39,6,0
Eastern,6,Nangarhar,602,Behsud,07-01-22,Flood / flash flood,0,0,10,77,9,1
Eastern,7,Laghman,702,Alishang,08-01-22,Flood / flash flood,0,0,39,199,39,0
Eastern,7,Laghman,701,Mehtarlam,08-01-22,Flood / flash flood,0,0,5,40,5,0
Capital,3,Parwan,301,Charikar,09-01-22,Heavy snowfall,0,0,10,76,8,2
Southern,34,Nimroz,3405,Khashrod,09-01-22,Flood / flash flood,0,0,16,127,15,1
Southern,34,Nimroz,3405,Khashrod,10-01-22,Flood / flash flood,3,2,15,137,15,0
Southern,24,Zabul,2401,Qalat,15-01-22,Flood / flash flood,0,0,26,215,24,2
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,2,84,588,0,84
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,5,53,371,0,53
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,64,448,0,64
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,6,21,180,1260,0,180
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,57,399,0,57
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,64,448,0,64
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,74,518,0,74
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,1,1,202,1414,0,202
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,272,1904,0,272
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,28,196,0,28
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,53,371,0,53
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,26,182,0,26
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,68,476,0,68
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,12,84,0,12
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,15,105,0,15
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,12,84,0,12
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,45,315,0,45
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,55,385,0,55
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,41,287,0,41
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,148,847,100,48
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,68,476,0,68
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,3,10,70,0,10
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,63,441,0,63
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,54,378,0,54
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,115,805,0,115
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,183,1216,163,23
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,10,70,0,10
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,52,364,0,52
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,20,140,0,20
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,20,140,0,20
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,107,749,0,107
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,33,231,0,33
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,72,504,0,72
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,36,252,0,36
Western,30,Hirat,3005,Guzara,17-01-22,Flood / flash flood,0,0,6,42,6,0
Western,30,Hirat,3005,Guzara,17-01-22,Flood / flash flood,0,0,39,255,39,0
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,4,0,152,880,132,20
Western,30,Hirat,3002,Injil,17-01-22,Flood / flash flood,0,0,116,812,116,0
Western,21,Ghor,2105,Shahrak,17-01-22,Landslide / mudflow,1,3,2,14,1,1
Western,30,Hirat,3006,Pashtunzarghun,17-01-22,Flood / flash flood,0,0,11,61,11,0
Western,30,Hirat,3007,Karukh,17-01-22,Flood / flash flood,0,0,1,5,1,0
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,229,1057,129,100
Western,30,Hirat,3001,Hirat,17-01-22,Flood / flash flood,0,0,85,504,0,85
Western,30,Hirat,3001,Hirat,17-01-22,Flood / flash flood,0,0,10,58,10,0
Western,30,Hirat,3001,Hirat,17-01-22,Flood / flash flood,0,0,197,914,197,0
Western,30,Hirat,3003,Kushk,17-01-22,Flood / flash flood,0,0,6,29,6,0
Western,30,Hirat,3005,Guzara,17-01-22,Flood / flash flood,0,0,38,235,38,0
Western,29,Badghis,2904,Qadis,17-01-22,Earthquake,0,0,76,532,0,76
Western,30,Hirat,3005,Guzara,17-01-22,Flood / flash flood,0,0,16,92,16,0
North Eastern,15,Badakhshan,1501,Fayzabad,18-01-22,Flood / flash flood,0,0,20,140,12,8
Southern,23,Uruzgan,2301,Tirinkot,20-01-22,Flood / flash flood,0,0,184,1586,184,0
Southern,23,Uruzgan,2304,Dehrawud,20-01-22,Flood / flash flood,0,6,57,472,57,0
Eastern,6,Nangarhar,618,Shinwar,23-01-22,Flood / flash flood,0,0,7,62,7,0
Eastern,6,Nangarhar,618,Shinwar,23-01-22,Flood / flash flood,0,0,8,84,8,0
Eastern,6,Nangarhar,601,Jalalabad,23-01-22,Flood / flash flood,0,0,4,32,1,3
Eastern,6,Nangarhar,618,Shinwar,23-01-22,Flood / flash flood,0,0,8,64,8,0
Eastern,6,Nangarhar,601,Jalalabad,23-01-22,Flood / flash flood,0,0,4,25,4,0
Eastern,6,Nangarhar,602,Behsud,23-01-22,Flood / flash flood,0,0,1,14,1,0
Eastern,6,Nangarhar,621,Nazyan,23-01-22,Flood / flash flood,3,1,3,20,1,2
Eastern,6,Nangarhar,610,Hesarak,23-01-22,Flood / flash flood,0,0,1,3,1,0
Eastern,6,Nangarhar,618,Shinwar,23-01-22,Flood / flash flood,0,0,1,9,1,0
Eastern,6,Nangarhar,618,Shinwar,23-01-22,Flood / flash flood,0,0,9,59,9,0
Eastern,6,Nangarhar,621,Nazyan,23-01-22,Flood / flash flood,0,0,1,5,1,0
Eastern,6,Nangarhar,601,Jalalabad,23-01-22,Flood / flash flood,0,0,9,56,9,0
Eastern,7,Laghman,704,Alingar,23-01-22,Flood / flash flood,0,0,1,11,0,1
Eastern,7,Laghman,704,Alingar,23-01-22,Flood / flash flood,0,1,6,45,5,1
Eastern,6,Nangarhar,615,Batikot,23-01-22,Flood / flash flood,0,0,1,9,1,0
Eastern,6,Nangarhar,608,Kuzkunar,23-01-22,Flood / flash flood,0,0,3,22,3,0
Eastern,7,Laghman,701,Mehtarlam,23-01-22,Flood / flash flood,0,0,4,41,2,0
Eastern,7,Laghman,702,Alishang,23-01-22,Flood / flash flood,0,0,23,152,23,0
Eastern,6,Nangarhar,615,Batikot,23-01-22,Flood / flash flood,0,0,2,20,2,0
Eastern,6,Nangarhar,601,Jalalabad,23-01-22,Flood / flash flood,0,0,3,18,3,0
Eastern,6,Nangarhar,601,Jalalabad,23-01-22,Flood / flash flood,0,0,3,18,3,0
Eastern,6,Nangarhar,615,Batikot,23-01-22,Flood / flash flood,0,0,2,16,2,0
Eastern,6,Nangarhar,622,Durbaba,23-01-22,Flood / flash flood,0,0,1,5,1,0
Eastern,6,Nangarhar,615,Batikot,23-01-22,Flood / flash flood,0,0,1,8,1,0
Eastern,6,Nangarhar,605,Chaparhar,23-01-22,Flood / flash flood,0,0,2,18,2,0
Eastern,6,Nangarhar,604,Khogyani,23-01-22,Flood / flash flood,0,0,2,11,2,0
Eastern,6,Nangarhar,612,Pachieragam,23-01-22,Flood / flash flood,0,0,4,29,4,0
Eastern,6,Nangarhar,617,Achin,23-01-22,Flood / flash flood,0,0,1,9,1,0
Eastern,6,Nangarhar,607,Kama,23-01-22,Flood / flash flood,0,0,1,9,0,1
Eastern,6,Nangarhar,606,Rodat,23-01-22,Flood / flash flood,0,0,1,7,1,0
Eastern,6,Nangarhar,619,Muhmand Dara,23-01-22,Flood / flash flood,0,0,1,10,1,0
Eastern,6,Nangarhar,602,Behsud,23-01-22,Flood / flash flood,0,0,4,21,2,2
Eastern,6,Nangarhar,606,Rodat,23-01-22,Flood / flash flood,0,0,1,10,1,0
Eastern,13,Kunar,1309,Khaskunar,24-01-22,Flood / flash flood,0,0,12,93,12,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,24-01-22,Flood / flash flood,0,0,14,98,14,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,24-01-22,Flood / flash flood,0,0,6,36,6,0
Eastern,13,Kunar,1303,Narang,24-01-22,Flood / flash flood,0,0,6,53,6,0
Eastern,13,Kunar,1313,Chapadara,24-01-22,Flood / flash flood,0,0,18,126,18,0
Eastern,13,Kunar,1314,Nurgal,24-01-22,Flood / flash flood,0,0,12,87,12,0
Eastern,13,Kunar,1301,Asadabad,24-01-22,Flood / flash flood,0,0,14,98,14,0
Eastern,13,Kunar,1314,Nurgal,24-01-22,Flood / flash flood,0,0,23,185,23,0
Eastern,13,Kunar,1308,Chawkay,24-01-22,Flood / flash flood,0,0,11,92,11,0
Eastern,13,Kunar,1311,Barkunar,24-01-22,Flood / flash flood,0,0,6,36,6,0
Eastern,13,Kunar,1305,Marawara,24-01-22,Flood / flash flood,0,0,40,148,40,0
Eastern,13,Kunar,1304,Sarkani,24-01-22,Flood / flash flood,0,0,3,19,3,0
Eastern,13,Kunar,1301,Asadabad,24-01-22,Flood / flash flood,0,0,12,90,12,0
Eastern,13,Kunar,1305,Marawara,28-01-22,Flood / flash flood,0,0,15,105,15,0
North Eastern,16,Takhar,1613,Dasht-e- Qala,29-01-22,Flood / flash flood,0,0,32,224,0,0
Northern,18,Balkh,1802,Nahr-e-Shahi,29-01-22,Flood / flash flood,0,0,2,13,0,2
Northern,18,Balkh,1801,Mazar-e-Sharif,06-02-22,Flood / flash flood,0,0,9,63,6,3
Eastern,13,Kunar,1305,Marawara,21-02-22,Flood / flash flood,0,0,4,31,4,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,21-02-22,Flood / flash flood,0,0,8,56,8,0
Eastern,13,Kunar,1313,Chapadara,21-02-22,Flood / flash flood,0,0,12,59,12,0
Eastern,13,Kunar,1314,Nurgal,21-02-22,Flood / flash flood,0,0,6,33,3,3
Eastern,13,Kunar,1314,Nurgal,21-02-22,Flood / flash flood,0,0,2,13,1,1
Eastern,13,Kunar,1314,Nurgal,21-02-22,Flood / flash flood,0,0,6,33,3,3
Eastern,13,Kunar,1314,Nurgal,21-02-22,Flood / flash flood,0,0,2,8,0,2
Eastern,13,Kunar,1308,Chawkay,21-02-22,Flood / flash flood,0,0,5,26,5,0
Eastern,13,Kunar,1313,Chapadara,21-02-22,Flood / flash flood,0,0,4,17,4,0
Eastern,13,Kunar,1313,Chapadara,21-02-22,Flood / flash flood,0,0,2,8,2,0
Eastern,13,Kunar,1313,Chapadara,21-02-22,Flood / flash flood,0,0,2,8,2,0
Eastern,13,Kunar,1308,Chawkay,21-02-22,Flood / flash flood,0,0,3,17,3,0
Eastern,13,Kunar,1303,Narang,21-02-22,Flood / flash flood,3,4,1,4,1,0
Eastern,6,Nangarhar,602,Behsud,22-02-22,Flood / flash flood,0,0,1,7,1,0
Western,29,Badghis,2905,Jawand,23-02-22,Earthquake,0,0,258,1806,258,0
Western,29,Badghis,2903,Abkamari,23-02-22,Earthquake,0,0,105,735,105,0
Western,29,Badghis,2904,Qadis,23-02-22,Earthquake,0,0,424,2968,424,0
North Eastern,16,Takhar,1601,Taloqan,24-02-22,Flood / flash flood,0,0,2,13,1,1
Capital,3,Parwan,303,Shinwari,01-03-22,Flood / flash flood,0,0,2,14,1,1
Capital,3,Parwan,301,Charikar,01-03-22,Flood / flash flood,0,0,7,48,6,1
Capital,3,Parwan,307,Ghorband,01-03-22,Flood / flash flood,0,0,3,19,3,0
Capital,3,Parwan,305,Saydkhel,01-03-22,Flood / flash flood,0,0,6,42,5,1
Capital,3,Parwan,301,Charikar,01-03-22,Flood / flash flood,0,0,9,63,9,0
Eastern,13,Kunar,1304,Sarkani,09-03-22,Flood / flash flood,0,0,1,6,1,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,09-03-22,Flood / flash flood,0,0,9,80,9,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,09-03-22,Flood / flash flood,0,0,4,34,4,0
Eastern,13,Kunar,1302,Watapur,09-03-22,Flood / flash flood,0,0,2,22,2,0
Eastern,13,Kunar,1301,Asadabad,09-03-22,Flood / flash flood,0,1,18,149,7,11
Eastern,13,Kunar,1311,Barkunar,09-03-22,Flood / flash flood,0,0,4,29,4,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,09-03-22,Flood / flash flood,0,0,4,58,4,0
Northern,20,Sar-e-Pul,2004,Sozmaqala,16-03-22,Flood / flash flood,0,1,4,25,4,0
North Eastern,16,Takhar,1609,Rostaq,16-03-22,Flood / flash flood,0,0,4,37,3,1
Northern,20,Sar-e-Pul,2007,Sangcharak,16-03-22,Flood / flash flood,0,0,10,66,10,0
North Eastern,17,Kunduz,1707,Dasht-e-Archi,16-03-22,Flood / flash flood,0,0,4,33,1,3
Eastern,6,Nangarhar,607,Kama,18-03-22,Flood / flash flood,0,0,1,10,1,0
Eastern,6,Nangarhar,607,Kama,18-03-22,Flood / flash flood,0,0,14,107,4,10
Eastern,6,Nangarhar,607,Kama,18-03-22,Flood / flash flood,0,0,2,20,2,0
Eastern,6,Nangarhar,615,Batikot,18-03-22,Flood / flash flood,0,0,2,8,2,0
Eastern,6,Nangarhar,616,Goshta,18-03-22,Flood / flash flood,0,0,3,25,2,1
Eastern,6,Nangarhar,620,Lalpur,18-03-22,Flood / flash flood,0,0,8,57,7,1
Eastern,6,Nangarhar,620,Lalpur,18-03-22,Flood / flash flood,2,1,3,16,3,0
Eastern,6,Nangarhar,615,Batikot,18-03-22,Flood / flash flood,0,0,4,24,4,0
Eastern,13,Kunar,1309,Khaskunar,20-03-22,Flood / flash flood,0,0,1,9,1,0
Eastern,13,Kunar,1304,Sarkani,20-03-22,Flood / flash flood,0,0,3,33,3,0
